Name,Side,Source,Ability,Effect,Receives,Reach,Lasts,Condition,Values_D3,Needs_Review,Notes,Ability_Text
Lysander,Defence,Active,Titanhammer Squad,heal:hpToHeal; blockdmg:blockDmg,TerminatorArmour,2 hexes,until his next turn,active,"L36: +2,529 health once; +337 Block Damage | L50: +7,477 health once; +997 Block Damage",N,"Terminator Armour allies are healed and block more (the block part needs a block chance, so gear).","Marks a free hex on the battlefield that is not adjacent to an enemy unit. Lysander and all friendly Terminator Armour units within {[range]} hexes of Lysander are healed for {[hpToHeal]} Health and block an additional +{[blockDmg]} Damage until the beginning of their next turn. If they have not moved in this turn, they can also move on or adjacent to the hex marked by this ability. Using Titanhammer Squad does not end Lysander's turn. Initial cooldown: {[initialCooldownTurns]} round."
Makhotep,Defence,Passive,Relentless March,regen:hpToRepair,Mechanical|LivingMetal,adjacent,every turn,always,"L36: +675 health every turn | L50: +1,996 health every turn",N,Mechanical allies that start their turn next to him are repaired. The movement is not counted.,Gives +1 Movement to all friendly units that start their turn in an adjacent hex. Also repairs affected Mechanical units for {[hpToRepair]} Health.
Nauseous Rotbone,Defence,Passive,Tainted Narthecium,revive:hp:all:chance=chance,Chaos,adjacent,once per turn,always,"L36: back with 1,239 health once | L50: back with 3,665 health once",N,"A 75% chance to bring back an adjacent Chaos ally who dies (even if Overkilled): counted as 75% of the health, once.","An adjacent friendly Chaos unit that is defeated has a {[chance]}% chance to be revived with a maximum of {[hp]} Health, even if Overkilled. Can only be triggered once per turn."
Nauseous Rotbone,Defence,Active,Revitalising Malignancy,heal:hpToHeal:all:who=!Imperial; heal:hpToHeal_2:all:who=Chaos,!Mechanical|LivingMetal,adjacent,once,active,"L36: +1,181 health once (not Imperial); +1,181 health once (Chaos) | L50: +3,490 health once (not Imperial); +3,490 health once (Chaos)",N,Chaos allies are healed twice; Imperial allies get nothing.,"Heals himself and all adjacent friendly units for {[hpToHeal]} Health, and an additional +{[hpToHeal_2]} Health to Chaos units. Imperial units do not receive any healing."
Neurothrope,Defence,Active,Spirit Leech,suppress:one; healdmg:hpToHealPct(minDmg-maxDmg),Tyranids,adjacent,once,active,"L36: suppresses one enemy; +526 health once | L50: suppresses one enemy; +1,556 health once",N,Suppresses the target; adjacent Tyranids are healed by 60% of the damage his Spirit Leech deals.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage to an enemy unit within {[range]} hexes. If the target is Suppressed, deals an additional +{[extraDmg]} Damage, otherwise Suppresses it. The Neurothrope heals itself and friendly Tyranids adjacent to it for Health equal to {[hpToHealPct]}% of the total damage dealt with this ability. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Nicodemus,Defence,Passive,Sanguinary Priest,regen:hpToHeal-maxHpToHeal,!Mechanical|LivingMetal,adjacent,every turn,always,"L36: +624 health every turn | L50: +1,845 health every turn",N,"Everyone next to him regenerates health every turn, on top of his heal action.","After moving, all adjacent friendly non-mechanical units regenerate {[hpToHeal]}-{[maxHpToHeal]} Health. If Nicodemus does not move, this ability triggers at the end of his turn."
Nicodemus,Defence,Active,Blood Chalice,setpct:healthPct; heal:hpToHeal,!Mechanical|LivingMetal,adjacent,until their next turn,active,"L36: set to 50% health; +1,687 health once | L50: set to 50% health; +4,986 health once",N,"Sets adjacent allies to 50% health (a cost), then heals them if they make a melee attack. It usually makes them easier to kill, so it scores below zero here. The pierce buff is on the Attack side.","All adjacent friendly non-mechanical units are set to {[healthPct]}% Health. Until the start of their next turn, affected units gain +{[extraPierceRatio]}% pierce ratio with melee attacks and heal for {[hpToHeal]} Health if they perform a melee attack."
Sekhetar,Defence,Passive,Prophetic Sentinel,armour:extraArmor:all:who=Chaos; blockchance:blockChance:all:who=Psyker; blockdmg:blockDmg:all:who=Psyker,all,adjacent,battle,always,L36: +304 Armour (Chaos); +25% block chance (Psyker); +304 Block Damage (Psyker) | L50: +898 Armour (Chaos); +25% block chance (Psyker); +898 Block Damage (Psyker),N,Chaos allies get +Armour; Psyker allies get a block chance and more Block Damage.,"Adjacent friendly Chaos units have +{[extraArmor]} Armour. Adjacent friendly Psykers have +{[blockChance]}% Block chance and block +{[blockDmg]} Damage. At the end of its turn, if the Sekhetar Robot is adjacent to a friendly Psyker, it starts Overwatching, even if it attacked during its turn."
Sibyll Devine,Defence,Passive,Nightshroud,flat:dmgReduction,all,adjacent,battle,always,L36: -169 damage a hit | L50: -499 damage a hit,N,Allies that start their turn next to her take less damage from each hit in the next enemy turn.,All friendly units starting their turn adjacent to Sibyll Devine gain Infiltrate for that turn and take -{[dmgReduction]} Damage from each hit in their and the next enemy turn.
Tan Gi'da,Defence,Active,Doctrina Imperatives,armour:extraArmor,Mechanical|LivingMetal,adjacent,battle,active,L36: +270 Armour | L50: +797 Armour,N,Protector Imperative: +Armour for adjacent Mechanical allies. Conqueror is the Attack side; only one is on at a time.,Tan Gi’da switches between two Imperatives that affect him and all friendly adjacent Mechanical units: Protector Imperative: Affected units have +{[extraArmor]} Armour. Conqueror Imperative: Affected units deal +{[extraDmg]} Damage against units with reduced Armour. This ability can be used once per turn instead of once per battle; each use switches the active Imperative. Tan Gi’da can attack after using this ability. Only the first use of this ability each battle counts as using an active ability.
Tanksmasha,Defence,Active,Unstoppable Momentum,suppress:one,all,team,1 round,active,L36: suppresses one enemy | L50: suppresses one enemy,N,"Suppresses the enemies in the line of his charge (Big Targets are Stunned); counted as one enemy, as on the roster map.","Charges in one of 6 directions and keeps moving in a straight line until he hits an obstacle or a Big Target. Any enemies hit by the charge take {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage, increased by {[extraDmg]} Damage for each hex traversed from the starting hex to the enemy. Affected enemies get pushed and Suppressed for 1 round. A Big Target is Stunned for 1 round instead. Friendly units are also displaced, but take no damage or negative effects. Initial cooldown: {[initialCooldownTurns]} round."
Thaumachus,Defence,Passive,Arcane Shield,shield:shieldHp,all,one,every turn,always,"L36: a 1,854 shield every turn | L50: a 5,483 shield every turn",N,"A shield on the closest ally within 2 hexes every turn (he prefers Thousand Sons, then Chaos).","After moving, Thaumachus applies a Shield to the closest friendly unit within {[range]} hexes, preferring Thousand Sons units, then other Chaos units, then other friendly units, and lastly casting it on himself if there is no other valid target. The shield has {[shieldHp]} Health and lasts one round. If Thaumachus does not move, then this ability triggers at the end of his turn."
Thothmek,Defence,Passive,Timesplinter Mantle,flat:dmgReduction:one,Mechanical|LivingMetal,adjacent,every turn,always,"L36: -1,012 damage a hit (one) | L50: -2,992 damage a hit (one)",N,Adjacent Mechanical allies take less damage from the first attack against them each turn (as his own passive on the roster map).,"At the start of each turn, Thothmek and all friendly adjacent Mechanical units gain Timesplinter Mantle. Affected units take -{[dmgReduction]} Damage from the first attack made by a unit against them. After being attacked or at the end of the turn, the effect ends."
Thothmek,Defence,Active,Chronometron,suppress:all,all,team,1 round,active,L36: suppresses the enemy turn | L50: suppresses the enemy turn,N,"Suppresses every enemy within 2 hexes: counted as the whole enemy turn, as on the roster map.","All enemy units within range {[range]} are Suppressed for {[nrOfRounds]} round. Affected Summons are Stunned instead. All enemies within range {[range]} take +{[extraDmg]} Damage from the next attack made by a unit against them, or +{[extraDmg_2]} Damage if the attacker is Mechanical."
Tyrant Guard,Defence,Passive,Guardian Organism,pctcap:dmgReductionPct/dmgReduction,all,adjacent,every enemy turn,always,"L36: -33% damage taken (max -675 a hit) | L50: -33% damage taken (max -1,996 a hit)",N,"Allies next to him (the ones his Big Target trait covers) take -33% damage, up to a maximum per hit. Always on (owner, as on the roster map).","If the Tyrant Guard is within Synapse range or did not move during its previous turn, it and friendly units affected by its Big Target trait take -{[dmgReductionPct]}% Damage during the enemy's next turn, up to a maximum of -{[dmgReduction]} Damage per hit."
Uthar,Defence,Passive,Grim Efficiency,armourpass:extraArmor,all,2 hexes,battle,always,L36: attacks go through 337 Armour again | L50: attacks go through 997 Armour again,N,Fortify Takeover stance for defence (owner decision): attacks on allies go through extra Armour a second time.,Ûthar switches between two stances that affect him and all friendly units within {[range]} hexes: Fortify Takeover: Attacks against affected units have to go through an Armour value of {[extraArmor]} an additional time. Hostile Acquisition: Affected units ignore {[armorIgnored]} Armour with all attacks. The stance switches whenever Ûthar uses his active ability or traverses {[movement]} or more hexes during his turn.
Varro Tigurius,Defence,Passive,Psychic Fortress,blockchance:blockChance; blockdmg:blockDmg; flat:dmgReduction:psychic,all,adjacent,battle,always,"L36: +50% block chance; +202 Block Damage; -405 damage a hit (psychic) | L50: +50% block chance; +599 Block Damage; -1,197 damage a hit (psychic)",N,"An added 50% block for everyone next to him, even without gear, and less Psychic damage.",All friendly surrounding units have an added Block with {[blockChance]}% chance to block {[blockDmg]} Damage. Also reduces incoming Psychic Damage by {[dmgReduction]}.
Vitruvius,Defence,Active,Rad-Bombardment,suppress:one,all,team,1 round,active,L36: suppresses one enemy | L50: suppresses one enemy,N,Suppresses every unit in a line (allies in it too); counted as one enemy.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Toxic Damage to all units in a straight line in one of 6 directions and adds Contamination to all hexes in the line. All units hit are Suppressed for 1 round. The length of the line starts at 2 hexes and increases by 1 hex for each round that has passed and by 1 hex each time a friendly Mechanic restores Health of a unit. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Wrask,Defence,Passive,Wrathful Devotion,shield:shieldHp@trig,Chaos,adjacent,1 round,trig,"L36: a 1,348 shield every turn (All triggered) | L50: a 3,989 shield every turn (All triggered)",N,Only after he arrives from Deep Strike or kills an enemy in melee: All triggered only.,"When Wrask arrives from Deep Strike or defeats an enemy in melee, he and adjacent friendly Chaos units gain a Shield with {[shieldHp]} Health for 1 round."
Xybia,Defence,Active,Mind Control,flat:dmgReduction:one,all,team,2 rounds,active,L36: -270 damage a hit (one) | L50: -797 damage a hit (one),Y,The controlled enemy deals less damage (one of the enemy attacks). Its Taunt pulls that enemy onto the adjacent ally with the most health: not counted. OWNER: count the Taunt?,"Targets an enemy unit within {[range]} hexes that is adjacent to one or more friendly units. For this round and the next, that enemy unit deals -{[dmgReduction]} Damage, takes +{[extraDmgPct]}% Damage, and becomes Taunted by the adjacent unit with the highest current Health."
Nicodemus,Defence,Relic,Chalice of Baal,heal:hp@trig,!Mechanical|LivingMetal,adjacent,turn,trig,"Mythic relic: +2,622 health once (All triggered)",N,Chalice of Baal (Mythic): heals everyone next to him the first time each turn a unit next to him dies.,"The first time each turn that any unit adjacent to Nicodemus dies, he heals himself and all friendly adjacent units for {[hp]} Health. All affected units deal +{[extraDmg]} Damage with normal melee attacks until the end of this turn."
Corrodius,Defence,Passive,Cursed Plague Bell,,all,,,,,N,"Not counted: enemy Psykers near him hurt themselves when they deal Psychic damage (damage to them, not protection for an ally).",Friendly Chaos units starting their turn within Corrodius' Contagion aura gain +{[extraMovement]} Movement for this turn. Enemy Psyker units within Corrodius' Contagion aura deal {[nrOfHits]}x {[dmg]} Psychic Damage to themselves each time one of their attacks deals Psychic Damage.
